,factscore,rev-factscore,r1,r2,rl,rlsum,n_facts
oltl-01-15-09,0.5,0.5128205128205128,39.84819734345351,10.666666666666666,18.595825426944973,37.191650853889946,68.0
atwt-01-12-07,0.39344262295081966,0.4864864864864865,36.2934362934363,10.465116279069766,16.6023166023166,33.97683397683398,61.0
atwt-03-20-06,0.36231884057971014,0.47368421052631576,40.3041825095057,9.923664122137403,20.15209125475285,38.02281368821293,69.0
oltl-04-08-09,0.4927536231884058,0.3684210526315789,37.09369024856596,5.374280230326296,15.678776290630974,34.79923518164436,69.0
atwt-10-19-06,0.45588235294117646,0.5,47.578347578347575,10.285714285714285,17.37891737891738,46.15384615384615,68.0
bb-05-04-17,0.43283582089552236,0.5813953488372093,42.60355029585799,9.108910891089108,20.11834319526627,40.63116370808679,67.0
atwt-05-13-04,0.2708333333333333,0.5409836065573771,46.319569120287255,11.891891891891893,21.543985637342907,44.88330341113106,48.0
oltl-05-24-07,0.2054794520547945,0.21739130434782608,44.54976303317535,11.09350237717908,17.061611374407583,42.65402843601896,73.0
oltl-01-07-09,0.30434782608695654,0.3855421686746988,43.71428571428571,9.74212034383954,18.571428571428573,42.85714285714286,46.0
oltl-07-15-11,0.3709677419354839,0.2647058823529412,33.26732673267326,6.759443339960239,15.841584158415841,30.891089108910887,62.0
bb-05-09-17,0.5806451612903226,0.5686274509803921,50.70729053318824,19.19302071973828,20.892274211099018,49.18389553862895,62.0
atwt-01-10-05,0.4857142857142857,0.5909090909090909,48.93617021276595,10.660980810234543,18.085106382978722,46.808510638297875,70.0
atwt-05-08-03,0.3793103448275862,0.28205128205128205,49.149338374291105,15.180265654648958,21.928166351606805,44.23440453686201,58.0
atwt-05-18-06,0.4444444444444444,0.2727272727272727,43.47826086956522,4.3624161073825505,17.391304347826082,42.80936454849498,63.0
gl-02-25-05,0.5714285714285714,0.6363636363636364,41.842610364683296,8.86319845857418,20.345489443378117,39.15547024952016,70.0
atwt-01-05-05,0.3472222222222222,0.45161290322580644,46.63382594417077,8.896210873146623,18.062397372742197,41.37931034482759,72.0
atwt-08-02-06,0.5614035087719298,0.7301587301587301,48.90190336749634,11.747430249632892,19.32650073206442,46.85212298682284,57.0
atwt-07-24-06,0.42857142857142855,0.45652173913043476,51.330203442879494,12.244897959183673,20.657276995305164,48.5133020344288,70.0
oltl-03-01-10,0.3090909090909091,0.5925925925925926,37.10021321961621,8.137044967880087,17.48400852878465,33.26226012793177,55.0
pc-05-05-03,0.375,0.5686274509803921,46.757679180887365,9.931506849315069,18.43003412969283,45.73378839590443,64.0
oltl-09-18-09,0.3472222222222222,0.3263157894736842,38.4020618556701,8.527131782945736,17.2680412371134,36.85567010309278,72.0
pc-03-05-03,0.4426229508196721,0.5194805194805194,52.85895806861499,15.286624203821658,19.3138500635324,50.31766200762389,61.0
atwt-01-22-07,0.25333333333333335,0.475,38.56332703213611,7.590132827324478,17.01323251417769,36.672967863894144,75.0
oltl-05-28-09,0.38666666666666666,0.76,37.40458015267175,8.42911877394636,17.938931297709924,36.25954198473282,75.0
gl-03-07-05,0.2857142857142857,0.38596491228070173,43.344709897610926,11.643835616438357,18.771331058020476,40.273037542662124,56.0
pc-01-29-03,0.33962264150943394,0.4,46.611570247933884,10.281923714759534,19.50413223140496,44.62809917355373,53.0
atwt-01-20-03,0.525,0.5535714285714286,47.01627486437614,8.711433756805807,21.338155515370705,44.48462929475588,80.0
atwt-05-05-03,0.36764705882352944,0.2894736842105263,53.82932166301969,19.078947368421055,21.00656455142232,52.29759299781181,68.0
oltl-08-25-09,0.2542372881355932,0.26666666666666666,47.07903780068728,12.758620689655176,18.556701030927837,44.67353951890035,59.0
oltl-06-28-11,0.4393939393939394,0.23076923076923078,39.67935871743487,9.6579476861167,16.83366733466934,37.67535070140281,66.0
atwt-03-09-06,0.4098360655737705,0.5901639344262295,55.99999999999999,16.874135546334717,18.758620689655174,54.068965517241374,61.0
gl-02-15-05,0.26229508196721313,0.5909090909090909,49.03581267217631,10.773480662983426,19.00826446280992,47.38292011019284,61.0
atwt-01-04-10,0.4358974358974359,0.5959595959595959,52.328159645232816,16.666666666666664,19.290465631929045,50.554323725055426,78.0
atwt-05-18-04,0.484375,0.5,44.48818897637795,11.462450592885375,19.291338582677167,40.55118110236221,64.0
atwt-05-15-03,0.3218390804597701,0.36666666666666664,33.2703213610586,6.072106261859582,15.50094517958412,32.892249527410215,87.0
oltl-08-20-09,0.45454545454545453,0.5,47.98534798534799,12.5,20.51282051282051,45.78754578754579,66.0
